Дата,Категория,Служба,Ранг,Имя,Год,Name,,,,
1/1/2022,Праздник,,0,Обре́зание Господне,0,The Circumcision of our Lord.,,,Ап.,Apostle
1/1/2022,Святой ,,Свт.,"Василия Великого, архиеп. Кесарии Каппадокийской.",379,"Basil the Great, archbishop of Caesarea in Cappadocia.",,,Апп.,Apostles
1/1/2022,Святой ,,Свт.,"Афанасия Полтавского, чудотворца.",1801,"Athanasius of Poltava, wonderworker.",,,Свт.,Sain Hierarch
1/1/2022,Святой ,,Мч.,Мч. Василия Анкирского.,ок. 362,Martyr Basil of Ancyra.,,,Свтт.,Sain Hierarchs
1/1/2022,Святой ,,Св.,"Емилии, матери свт. Василия Великого.",IV,"Emelia, mother of St. Basil the Great.",,,Мч.,Martyr
1/1/2022,Святой ,,Прмч.,Иеремии Леонова.,1918,Jeremiah.,,,Мчч.,Martyrs
1/1/2022,Святой ,,Сщмчч.,"Платона, еп. Ревельского, и с ним Михаила Блейве и Николая Бежаницкого пресвитеров.",1919,"Platon, bishop of Revel and priests Michael and Nikolay.",,,Прп.,Venerable
1/1/2022,Святой ,,Сщмчч.,"Александра, архиеп. Самарского, и с ним Иоанна Смирнова, Александра Иванова, Иоанна Сульдина, Александра Органова, Вячеслава Инфантова, Василия Витевского и Иакова Алферова пресвитеров.",1938,"Alexander archbishop of Samara and with him priests John, Alexander, John, Alexander, Viacheslav, Basil and James.",,,Прпп.,Venerable
1/1/2022,Особенность,,0,св. Василия Великого.,0,Basil the Great.,,,Сщмч.,Hieromartyr
1/2/2022,Святой ,,Свт. ,"Сильвестра, папы Римского.",335,"Sylvester, pope of Rome.",,,Сщмчч.,Hieromartyrs
1/2/2022,Святой ,,Прав.,"Иулиании Лазаревской, Муромской.",1604,"Juliana of Lazarevo, of Murom.",,,Прав.,Righteous
1/2/2022,Святой ,,0,"Преставление (1833), второе обре́тение мощей (1991) прп. Серафима Саровского, чудотворца.",0,"Repose (1833), the second finding of relics (1991) of Venerable Seraphim, wonderworker of Sarov.",,,Прмч.,Monk-martyr
1/2/2022,Святой ,,Прп. ,"Сильвестра Печерского, в Ближних пещерах.",XII,Sylvester of the Kiev Caves.,,,Прмчч.,Monk-martyrs
1/2/2022,Святой ,,Сщмч. ,"Феогена, еп. Парийского.",ок. 320,"Theogenes, bishop of Parium.",,,Прор.,Prophet 
1/2/2022,Святой ,,Мч.,Василия Петрова.,1942,Basil.,,,Св.,St.
1/3/2022,Святой ,,Прор.,Малахии.,400 г. до Р. Х.,Malachias.,,,Свв.,Sts.
1/3/2022,Святой ,,Мч.,Горди́я.,IV,Gordius.,,,Блж.,Blessed
1/3/2022,Святой ,,Прп. ,Женевьевы (Геновефы) Парижской.,512,Genevieve of Paris.,,,Равноап.,Equal to Apostles
1/3/2022,Святой ,,Сщмч.,Василия Холмогорова пресвитера.,1938,priest Basil Kolmogorov.,,,Равноапп.,Equals to Apostles
